((26.0, 11.0),113.9542704269495)
((40.0, 29.0),197.3637931367577)
((52.0, 36.0),67.30719942171629)
((30.0, 1.0),17.73777060143196)
((48.0, 40.0),87.96933113059843)
((52.0, 37.0),64.2014917728601)
((54.0, 19.0),36.7217227472997)
((9.0, 31.0),91.85334186701098)
((42.0, 3.0),10.502626228074021)
((44.0, 37.0),137.57127608335662)
((49.0, 18.0),77.06660097380443)
((58.0, 30.0),17.282222365477047)
((32.0, 22.0),224.29421724820935)
((40.0, 12.0),99.50251557882271)
((10.0, 46.0),40.9590424744659)
((13.0, 43.0),83.21919169224209)
((37.0, 41.0),161.6617798471016)
((54.0, 16.0),23.68412975435021)
((46.0, 28.0),136.9276893068257)
((44.0, 52.0),31.28445156470029)
((21.0, 40.0),161.2672574480655)
((53.0, 25.0),63.582566729718124)
((4.0, 17.0),15.05453348961808)
((21.0, 1.0),4.531068892218357)
((43.0, 45.0),93.9154641500073)
((50.0, 38.0),79.20264496356538)
((22.0, 23.0),200.68205136005514)
((44.0, 3.0),1.4816740079746893)
((24.0, 25.0),228.7363308785965)
((46.0, 53.0),11.95919638998646)
((17.0, 51.0),47.724717333465705)
((13.0, 12.0),59.8146328895206)
((21.0, 18.0),157.74375602445755)
((8.0, 48.0),12.758376578417838)
((46.0, 11.0),55.750887791261086)
((22.0, 24.0),206.62413607775093)
((22.0, 49.0),87.64657291977223)
((33.0, 13.0),134.5049156694861)
((14.0, 16.0),94.42463789443593)
((14.0, 42.0),97.2904724106322)
((39.0, 20.0),169.28279829135727)
((45.0, 31.0),146.35970947622272)
((22.0, 38.0),182.99995495837848)
((39.0, 53.0),44.84928144042701)
((37.0, 44.0),135.3717694968122)
((48.0, 42.0),77.13905989706248)
((3.0, 30.0),32.499252984154836)
((5.0, 46.0),1.1002444879748197)
((14.0, 10.0),51.54226263254369)
((27.0, 29.0),272.5192612959232)
((10.0, 38.0),83.98555292224465)
((7.0, 24.0),66.68564023739343)
((28.0, 51.0),81.55697156513907)
((7.0, 23.0),64.2446322344805)
((49.0, 7.0),5.9008110375059175)
((21.0, 34.0),200.41691102951543)
((13.0, 17.0),92.72241853038231)
((1.0, 35.0),6.866628771655208)
((33.0, 36.0),224.80987508524913)
((50.0, 23.0),88.04123897939341)
((48.0, 30.0),117.22408766631932)
((34.0, 9.0),93.30973525837088)
((43.0, 40.0),129.13206646474393)
((10.0, 20.0),82.11862262902162)
((18.0, 33.0),176.69102924212888)
((55.0, 42.0),16.922953974715433)
((36.0, 22.0),204.39514339460038)
((17.0, 33.0),167.13589083862382)
((50.0, 32.0),95.49696886352159)
((20.0, 17.0),143.70025226274362)
((46.0, 15.0),83.94996649045453)
((34.0, 1.0),14.551424579614434)
((20.0, 46.0),106.02957612837)
((14.0, 11.0),59.19666883754381)
((49.0, 16.0),66.35645457446586)
((10.0, 43.0),59.298469983660844)
((47.0, 23.0),116.50661026883736)
((14.0, 52.0),23.158668209927242)
((2.0, 34.0),18.531694408350177)
((50.0, 48.0),23.772842749157164)
((5.0, 19.0),32.31334786116452)
((30.0, 44.0),152.22706974626658)
((33.0, 12.0),124.68991501803366)
((37.0, 23.0),204.35735044532646)
((24.0, 44.0),141.4962009317814)
((37.0, 17.0),157.8116243613417)
((23.0, 24.0),214.7281832646577)
((24.0, 39.0),186.64891216596124)
((30.0, 51.0),82.23448802890687)
((4.0, 36.0),33.844288681921135)
((39.0, 12.0),104.43157081701351)
((11.0, 19.0),86.5297952171909)
((4.0, 35.0),36.2124612002059)
((38.0, 17.0),152.45419378077997)
((38.0, 27.0),214.44454813002204)
((48.0, 16.0),74.52921352668717)
((25.0, 9.0),92.27232094906103)
((13.0, 40.0),100.92984219872147)
((8.0, 19.0),59.76503994702149)
((10.0, 45.0),47.31992434193408)
((17.0, 40.0),133.15321162364665)
((41.0, 56.0),9.532545993110908)
((25.0, 29.0),252.55814645818634)
((33.0, 31.0),262.8709052251796)
((35.0, 28.0),245.98111360368955)
((45.0, 9.0),46.63188052503845)
((42.0, 40.0),136.77126495469844)
((12.0, 10.0),38.414859509342456)
((41.0, 26.0),182.86148967203508)
((50.0, 45.0),43.219059742856096)
((52.0, 41.0),48.16488599311025)
((10.0, 47.0),34.373919358574234)
((39.0, 41.0),150.19370945347242)
((43.0, 52.0),36.45528803490578)
((22.0, 11.0),101.99977164687172)
((47.0, 47.0),52.230443630893326)
((46.0, 13.0),70.28795656928122)
((39.0, 13.0),113.17921011225636)
((9.0, 19.0),68.77485690830333)
((16.0, 54.0),16.705844391559488)
((28.0, 41.0),180.97316999937803)
((17.0, 38.0),145.31368286385398)
((9.0, 23.0),83.47042935780294)
((57.0, 33.0),24.78716936155923)
((37.0, 5.0),47.101661388208385)
((12.0, 17.0),84.56610059283943)
((40.0, 15.0),124.60264431081299)
((51.0, 50.0),2.73973146187096)
((26.0, 21.0),209.65076699736116)
((14.0, 4.0),2.676497715572488)
((35.0, 15.0),148.33234177267042)
((4.0, 33.0),39.857978127920326)
((27.0, 1.0),16.424130351872925)
((30.0, 58.0),12.238297384294299)
((47.0, 33.0),123.30875945076156)
((33.0, 3.0),35.72996286796453)
((57.0, 36.0),19.095935822277532)
((6.0, 22.0),51.86018936302002)
((30.0, 28.0),287.4745755800304)
((28.0, 36.0),230.05429924506643)
((23.0, 33.0),222.7584561264947)
((46.0, 12.0),63.11896265015896)
((41.0, 38.0),157.23657647698926)
((2.0, 24.0),17.733394393105932)
((41.0, 52.0),45.93041568789541)
((22.0, 50.0),78.30431886503234)
((28.0, 39.0),200.71559952521412)
((14.0, 9.0),43.726220192981415)
((45.0, 32.0),144.88605506463858)
((5.0, 36.0),43.502254525791315)
((44.0, 48.0),64.22880200040271)
((49.0, 39.0),84.00407812612393)
((27.0, 59.0),0.9931401537562934)
((36.0, 15.0),144.5802158080205)
((54.0, 35.0),50.609936180239714)
((47.0, 11.0),48.982352052935205)
((11.0, 43.0),67.42859737636263)
((15.0, 47.0),69.09229430891148)
((31.0, 16.0),167.14988698211806)
((39.0, 48.0),90.65123841883327)
((34.0, 27.0),251.92909112364924)
((50.0, 13.0),40.430075005608295)
((3.0, 33.0),29.959927459693212)
((28.0, 4.0),47.1512394011987)
((13.0, 35.0),122.92955491915741)
((59.0, 34.0),3.5180263128269473)
((32.0, 30.0),276.0972413412485)
((19.0, 47.0),92.32888594703394)
((44.0, 7.0),35.929594392329385)
((16.0, 30.0),162.39313384286478)
((55.0, 38.0),32.581552951778434)
((15.0, 9.0),49.74316995794965)
((8.0, 46.0),25.413481497166863)
((19.0, 35.0),178.0683506310021)
((55.0, 43.0),12.271636734261584)
((36.0, 55.0),34.75447041379294)
((32.0, 19.0),195.27954154740166)
((46.0, 43.0),86.8861005647311)
((52.0, 34.0),72.32491274053366)
((43.0, 53.0),27.766989059107452)
((16.0, 6.0),30.15611805105504)
((38.0, 24.0),202.25162803843142)
((49.0, 49.0),23.94890205264158)
((36.0, 42.0),157.73183971762336)
((22.0, 57.0),11.670406787380188)
((43.0, 18.0),126.25905547437472)
((24.0, 42.0),159.95193597661225)
((18.0, 12.0),91.55296978706346)
((13.0, 46.0),63.02128793053196)
((25.0, 18.0),178.1568138363628)
((21.0, 48.0),92.90883605180414)
((26.0, 50.0),88.91258185676968)
((48.0, 37.0),101.52578651707205)
((30.0, 8.0),87.73378640653291)
((50.0, 34.0),91.83784247282898)
((39.0, 34.0),195.80333307128734)
((52.0, 48.0),8.785467506992859)
((11.0, 51.0),12.720634838206237)
((34.0, 37.0),211.3389448969001)
((17.0, 17.0),123.44145774171193)
((38.0, 57.0),10.224834431820895)
((45.0, 4.0),5.177309624275779)
((22.0, 4.0),36.145663026674164)
((18.0, 30.0),182.3559982581918)
((29.0, 56.0),32.148226356794254)
((50.0, 50.0),9.807931732720938)
((2.0, 38.0),9.06290161384888)
((24.0, 27.0),238.44917044422414)
((38.0, 16.0),144.0680664786716)
((41.0, 35.0),173.44406781003272)
((44.0, 27.0),155.66317191585279)
((50.0, 14.0),46.560573306413566)
((37.0, 13.0),122.24301419623025)
((50.0, 41.0),65.6573809256534)
((33.0, 55.0),40.195268197230156)
((32.0, 1.0),16.845576271023646)
((29.0, 39.0),201.97131570934408)
((20.0, 52.0),52.301579367130984)
((3.0, 40.0),11.717811743715778)
((53.0, 19.0),45.907063248443905)
((24.0, 10.0),99.36711406414418)
((19.0, 8.0),62.129432240990106)
((39.0, 35.0),190.85815449502087)
((36.0, 44.0),139.53123820353287)
